taxonID	scientificName	parser_run	matchedType	matchSize	inputName	matchedName	inputCanonicalForm	matchedCanonicalForm	matchedEditDistance	inputRank	matchedRank	synonymStatus	acceptedName	matchedScore	matchTaxonID	classification
d69bfc3f-fdd7-5464-a2bb-3e2f8178577a	Abobra	1	Exact string match	1	Abobra	Abobra	Abobra		0		33685823	false	Abobra	0.622	33685823	Plantae(33521293), Tracheophyta(33521294), Magnoliopsida(33521295), Cucurbitales(33527083), Cucurbitaceae(33530037), Abobra(33685823)
b46b4b59-d66d-5361-a745-8fc893fb6a1f	Acacia tortilis	1	Canonical form exact match	1	Acacia tortilis	Acacia tortilis (Forssk.) Hayne	Acacia tortilis		0	species	de9a8632d609d550a3b757bf7fd21ac2	true	Vachellia tortilis (Forssk.) Galasso & Banfi		7784d11be5ef633a5201ba8a8890d223	Plantae(33521293), Tracheophyta(33521294), Magnoliopsida(33521295), Fabales(33522811), Fabaceae(33522812), Vachellia(33607428), Vachellia tortilis(de9a8632d609d550a3b757bf7fd21ac2)
93c69e8a-e498-5790-aec5-695ed0add8c3	Acanthina monodon	1	Canonical form exact match	1	Acanthina monodon	Acanthina monodon (Pallas, 1774)	Acanthina monodon		0	species	b9a5edbc0fdb3dbd0614e403a493748a	false	Acanthina monodon (Pallas, 1774)		b9a5edbc0fdb3dbd0614e403a493748a	Animalia(33521288), Mollusca(33521301), Gastropoda(33521302), Neogastropoda(33523027), Muricoidea(33523139), Muricidae(33532652), Acanthina(33623961), Acanthina monodon(b9a5edbc0fdb3dbd0614e403a493748a)
0dc2c929-15b5-5f93-b7e5-6b8698446efd	Acanthixalus sonjae	1	Canonical form exact match	1	Acanthixalus sonjae	Acanthixalus sonjae Rödel, Kosuch, Veith and Ernst, 2003	Acanthixalus sonjae		0	species	dfaa594ab2d3a19a29ca66875261ff3b	false	Acanthixalus sonjae Rödel, Kosuch, Veith and Ernst, 2003		dfaa594ab2d3a19a29ca66875261ff3b	Animalia(33521288), Chordata(33521289), Amphibia(33526904), Anura(33526914), Hyperoliidae(33526941), Acanthixalus(33664026), Acanthixalus sonjae(dfaa594ab2d3a19a29ca66875261ff3b)
6764ac89-70f9-5bad-850c-dd51ee209097	Acanthixalus spinosus	1	Canonical form exact match	1	Acanthixalus spinosus	Acanthixalus spinosus (Buchholz and Peters in Peters, 1875)	Acanthixalus spinosus		0	species	e895c16e3a19a82c94a248a1cbf0bdac	false	Acanthixalus spinosus (Buchholz and Peters in Peters, 1875)		e895c16e3a19a82c94a248a1cbf0bdac	Animalia(33521288), Chordata(33521289), Amphibia(33526904), Anura(33526914), Hyperoliidae(33526941), Acanthixalus(33664026), Acanthixalus spinosus(e895c16e3a19a82c94a248a1cbf0bdac)
b852941d-02d7-5a3a-9448-1ff5e0f46cd7	Acanthocardia	1	Exact string match	1	Acanthocardia	Acanthocardia	Acanthocardia		0		33550974	false	Acanthocardia	0.622	33550974	Animalia(33521288), Mollusca(33521301), Bivalvia(33521616), Cardiida(33522585), Cardioidea(33522586), Cardiidae(33532682), Acanthocardia(33550974)
05652ee1-d88a-5199-b03e-ac6e9d37b608	Acantholichen pannarioides	1	Canonical form exact match	1	Acantholichen pannarioides	Acantholichen pannarioides P.M. Jørg., 1998	Acantholichen pannarioides		0	species	68635b54c98374d332e458a15e85decc	false	Acantholichen pannarioides P.M. Jørg., 1998		68635b54c98374d332e458a15e85decc	Fungi(33521351), Basidiomycota(33521352), Agaricomycetes(33523375), Corticiales(33523387), Corticiaceae(33523390), Acantholichen(33702981), Acantholichen pannarioides(68635b54c98374d332e458a15e85decc)
fc1f0025-ca89-5d01-94be-6006fedd3800	Acavoidea	1	Exact string match	1	Acavoidea	Acavoidea	Acavoidea		0		33521675	false	Acavoidea	0.622	33521675	Animalia(33521288), Mollusca(33521301), Gastropoda(33521302), Stylommatophora(33521303), Acavoidea(33521675)
13fd7b3d-ca1a-5252-bcac-6793b678acd5	Accipiter gentilis	1	Canonical form exact match	2	Accipiter gentilis	Accipiter gentilis (Linnaeus, 1758)	Accipiter gentilis		0	species	8c2438f4664fe42fedb125e82cb2e11d	false	Accipiter gentilis (Linnaeus, 1758)		8c2438f4664fe42fedb125e82cb2e11d	Animalia(33521288), Chordata(33521289), Aves(33521290), Accipitriformes(33531644), Accipitridae(33531648), Accipiter(33621682), Accipiter gentilis(8c2438f4664fe42fedb125e82cb2e11d)
13fd7b3d-ca1a-5252-bcac-6793b678acd5	Accipiter gentilis	1	Canonical form exact match	2	Accipiter gentilis	Accipiter gentilis Linnaeus 1758	Accipiter gentilis		0	species	3858918dd2b333d0c1261b936ee2f91a	false	Accipiter gentilis Linnaeus 1758		3858918dd2b333d0c1261b936ee2f91a	Animalia(33521288), Chordata(33521289), Aves(33521290), Accipitriformes(33531644), Accipitridae(33531648), Accipiter(33621682), Accipiter gentilis(3858918dd2b333d0c1261b936ee2f91a)
