taxonID	scientificName	parser_run	matchedType	matchSize	inputName	matchedName	inputCanonicalForm	matchedCanonicalForm	matchedEditDistance	inputRank	matchedRank	synonymStatus	acceptedName	matchedScore	matchTaxonID	classification
adc323ad-f493-583c-959f-d02921a06c1e	Aegopinella minor	1	Genus part match	1	Aegopinella minor	Aegopinella	Aegopinella minor	Aegopinella	0	species	genus		Aegopinella	0.75	33768016	Animalia(kingdom), Mollusca(phylum), Gastropoda(class), Stylommatophora(order), Gastrodontoidea(superfamily), Oxychilidae(family), Aegopinella(genus)
e5eaed47-ce07-5fe5-812f-0ea23f2e3143	Aegopinella pura	1	Canonical form exact match	1	Aegopinella pura	Aegopinella pura (Alder, 1830)	Aegopinella pura	Aegopinella pura	0	species	species		Aegopinella pura (Alder, 1830)	0.988	071ceba47388ce923345d3c3de1b625a	Animalia(kingdom), Mollusca(phylum), Gastropoda(class), Stylommatophora(order), Gastrodontoidea(superfamily), Oxychilidae(family), Aegopinella(genus), Aegopinella pura(species)
a003e3a4-9f60-5c71-b2e7-ec15347fbd2b	Aegotheles insignis	1	Canonical form exact match	1	Aegotheles insignis	Aegotheles insignis Salvadori, 1876	Aegotheles insignis	Aegotheles insignis	0	species	species	synonym	Euaegotheles insignis (Salvadori, 1876)	0.988	cf918488812d6495f40de76b800675a6	Animalia(kingdom), Chordata(phylum), Aves(class), Apodiformes(order), Aegothelidae(family), Euaegotheles(genus), Euaegotheles insignis(species)
396a20be-17f9-5ded-9612-b4ce4e817621	Aelurodon stirtoni	1	No match	0	Aelurodon stirtoni					species						
d9caf70a-d308-5cf0-a279-c0734f071ec8	Aenona	1	No match	0	Aenona											
f249f28c-c955-58b5-ac48-afee96fadea6	Aepiryrymnus rufescens	1	No match	0	Aepiryrymnus rufescens					species						
4216908a-d2ed-5b66-b6c0-5d512ab354b0	Aepyceros melampus	1	Canonical form exact match	1	Aepyceros melampus	Aepyceros melampus (Lichtenstein, 1812)	Aepyceros melampus	Aepyceros melampus	0	species	species		Aepyceros melampus (Lichtenstein, 1812)	0.988	0747c465edaff4d5301bd9f9baab8e52	Animalia(kingdom), Chordata(phylum), Mammalia(class), Artiodactyla(order), Bovidae(family), Aepyceros(genus), Aepyceros melampus(species)
10b696d2-1725-5ba5-b0f9-bab3537258f7	Aerodramus salangana	1	Canonical form exact match	1	Aerodramus salangana	Aerodramus salangana (Streubel, 1848)	Aerodramus salangana	Aerodramus salangana	0	species	species		Aerodramus salangana (Streubel, 1848)	0.988	fac45955b8960590d8c304acb6fd6f3b	Animalia(kingdom), Chordata(phylum), Aves(class), Apodiformes(order), Apodidae(family), Aerodramus(genus), Aerodramus salangana(species)
8faa775d-0023-50e1-9283-e7ac984fc01e	Aerodramus vanikorensis	1	Canonical form exact match	1	Aerodramus vanikorensis	Aerodramus vanikorensis (Quoy & Gaimard, 1830)	Aerodramus vanikorensis	Aerodramus vanikorensis	0	species	species		Aerodramus vanikorensis (Quoy & Gaimard, 1830)	0.988	8cd06d40f905197527bf59073edb0451	Animalia(kingdom), Chordata(phylum), Aves(class), Apodiformes(order), Apodidae(family), Aerodramus(genus), Aerodramus vanikorensis(species)
d4052f77-a566-5a2c-8c0d-356d27affa0f	Aerolatae	1	No match	0	Aerolatae											
48bf4e43-98e7-595c-9fb7-96b615c6cc56	Aeronautes saxatalis	1	Canonical form exact match	1	Aeronautes saxatalis	Aeronautes saxatalis (Woodhouse, 1853)	Aeronautes saxatalis	Aeronautes saxatalis	0	species	species		Aeronautes saxatalis (Woodhouse, 1853)	0.988	a7261b0a971fd65373887d14d45fdb0b	Animalia(kingdom), Chordata(phylum), Aves(class), Apodiformes(order), Apodidae(family), Aeronautes(genus), Aeronautes saxatalis(species)
a6eeb97d-e96e-5003-a890-e9250d6fe520	Aeropyrum pernix	1	Canonical form exact match	1	Aeropyrum pernix	Aeropyrum pernix Sako et al., 1996	Aeropyrum pernix	Aeropyrum pernix	0	species	species		Aeropyrum pernix Sako et al., 1996	0.988	1400a475821570d8bf33fe75e9ab08e4	Archaea(kingdom), Crenarchaeota(phylum), Thermoprotei(class), Desulfurococcales(order), Desulfurococcaceae(family), Aeropyrum(genus), Aeropyrum pernix(species)
0bd83c93-2863-5045-91ba-8408b56152f2	Aeschynanthus	1	Exact string match	1	Aeschynanthus	Aeschynanthus	Aeschynanthus	Aeschynanthus	0		genus		Aeschynanthus	0.75	33535650	Plantae(kingdom), Tracheophyta(phylum), Magnoliopsida(class), Lamiales(order), Gesneriaceae(family), Aeschynanthus(genus)
a646276e-5bf0-541b-b108-b65b6ea96f44	Aesculus	1	Exact string match	1	Aesculus	Aesculus	Aesculus	Aesculus	0		genus		Aesculus	0.75	33685417	Plantae(kingdom), Tracheophyta(phylum), Magnoliopsida(class), Sapindales(order), Sapindaceae(family), Aesculus(genus)
6e1436c9-3b48-5111-b06f-8ed05756a5b4	Afa Plus	1	No match	0	Afa Plus											
56a6053f-cfe0-5521-b2b8-5dc231b70b68	Afrix paradorsalis	1	No match	0	Afrix paradorsalis					species						
5b2cc707-adef-5d01-9e4e-2306f2300c49	Afrixalus delicatus	1	Canonical form exact match	1	Afrixalus delicatus	Afrixalus delicatus Pickersgill, 1984	Afrixalus delicatus	Afrixalus delicatus	0	species	species		Afrixalus delicatus Pickersgill, 1984	0.988	f7efb7ea0aed435cd5b06a7cebefcca3	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Hyperoliidae(family), Afrixalus(genus), Afrixalus delicatus(species)
